index,sentence,length
336,"Yeah, on legs.",1.4
337,Yeah.,0.28
338,that Why's hard?,0.4
339,"Well, cause it's, I mean, a 3D printer is a very simple machine, right?",4.46
340,"Okay, you're going to print chips.",1.5
341,You're going to have an atomic printer.,1.34
342,How are going you to dope the silicon?,1.02
343,Yeah.,0.36
344,Right.,0.28
345,How are you going to etch the silicon?,1.46
346,You're going to have to have a very interesting kind of fab if you want to have a lot of computation on board.,7.22
347,But you can do like structural type of robots that are dumb.,5.16
348,"Yeah, but structural type of robots aren't going to have the intelligence required to survive in any complex environment.",5.88
349,What about like ants type of systems?,1.82
350,We have like trillions of them.,1.18
351,I don't think this works.,1.1
352,"I mean, again, like ants at their very core are made up of cells that are capable of individually reproducing.",5.9
353,They're doing quite a lot of computation that we're taking for granted.,3.48
354,It's not even just the computation.,1.2
355,It's that reproduction is so inherent.,1.7
356,"Okay, so like there's two stacks of life in the world.",1.88
357,There's the biological stack and the silicon stack.,2.76
358,The biological stack starts with reproduction.,3.12
359,Reproduction is at the absolute core.,1.56
360,The first proto-RNA organisms were capable of reproducing.,3.68
361,"The silicon stack, despite as far as it's come, is nowhere near being able to reproduce.",5.08
362,Yeah.,0.18
363,"So the fab movement, digital fabrication, fabrication in the full range of what that means is still in the early stages.",10.52
364,You're interested in this world.,1.2
365,"Even if you did put a fab on the machine, right?",3.02
366,"Let's say, okay, you know, we can build fabs.",1.4
367,We know how to do that as humanity.,1.04
368,We can probably put all the precursors that build all the machines and the fabs also in the machine.,4.0
369,"So first off, this machine is going to be absolutely massive.",1.66
370,"I mean, we almost have a like, think of the size of the thing required to reproduce a machine today, right?",6.68
371,"Like, is our civilization capable of reproduction?",3.34
372,Can we reproduce our civilization on Mars?,2.08
373,"If we were to construct a machine that is made up of humans, like a company, it can reproduce itself.",6.42
374,Yeah.,0.1
375,I don't know.,0.48
376,It feels like 115 people.,4.86
377,I think it's so much harder than that.,1.36
378,120?,0.44
379,I'm just looking for a number.,1.94
380,I believe that Twitter can be run by 50 people.,2.2
381,"I think that this is gonna take most of, like, it's just most of society, right?",5.34
382,"Like, we live in one globalized world.",1.66
383,"No, but you're not interested in running Twitter.",1.7
384,You're interested in seeding.,1.48
385,"Like, you want to seed a civilization and then, because humans can like, have sex.",4.98
386,"Oh, okay, you're talking about, yeah, okay.",1.72
387,"So you're talking about the humans reproducing and like, basically like, what's the smallest self-sustaining colony of humans?",4.5
388,Yeah.,0.22
389,"Yeah, okay, fine.",0.8
390,But they're not gonna be making five nanometer chips.,1.52
391,"Over time, they will.",0.82
392,"I think you're being, like, we have to expand our conception of time here, going back to the original timescale.",7.82
393,"I mean, over, across maybe 100 generations, we're back to making chips.",5.12
394,No?,0.38
395,If you seed the colony correctly.,1.74
396,"Maybe, or maybe they'll watch our colony die out over here and be like, we're not making chips.",5.12
397,Don't make chips.,0.76
398,"No, but you have to seed that colony correctly.",1.76
399,"Whatever you do, don't make chips.",1.48
400,Chips are what led to their downfall.,1.56
401,"Well, that is the thing that humans do.",1.76
402,"They come up, they construct a devil, a good thing and a bad thing, and they really stick by that.",4.94
403,And then they murder each other over that.,1.42
404,There's always one asshole in the room who murders everybody.,2.1
405,And he usually makes tattoos and nice branding.,3.48
406,With flags and stuff.,0.72
407,Do you need that asshole?,0.84
408,"That's the question, right?",0.82
409,"Humanity works really hard today to get rid of that asshole, but I think they might be important.",3.88
410,"Yeah, this whole freedom of speech thing.",2.04
411,It's the freedom of being an asshole seems kind of important.,2.76
412,That's right.,0.22
413,"Man, this thing, this fab, this human fab that we constructed, this human civilization is pretty interesting.",6.2
414,"And now it's building artificial copies of itself or artificial copies of various aspects of itself that seem interesting, like intelligence.",10.2
415,And I wonder where that goes.,1.66
416,I like to think it's just like another stack for life.,2.24
417,"Like we have like the bio stack life, like we're a bio stack life, and then the silicon stack life.",3.42
418,"But it seems like the ceiling, there might not be a ceiling, or at least the ceiling is much higher for the silicon stack.",6.48
419,"Oh, no, I don't, we don't know what the ceiling is for the bio stack either.",3.36
420,The bio stack just seemed to move slower.,2.6
421,"You have Moore's law, which is not dead despite many proclamations.",5.18
422,In the bio stack or the silicon stack?,1.5
423,In the silicon stack.,0.56
424,And you don't have anything like this in the bio stack.,1.58
425,So I have a meme that I posted.,2.16
426,I tried to make a meme.,0.64
427,It didn't work too well.,0.76
428,"But I posted a picture of Ronald Reagan and Joe Biden, and you look, this is 1980, and this is 2020.",6.08
429,And these two humans are basically like the same.,2.2
430,"There's no, there's been no change in humans in the last 40 years.",6.4
431,And then I posted a computer from 1980 and a computer from 2020.,2.94
432,Wow.,0.34
433,"Yeah, with the early stages, right?",3.78
434,"Which is why you said when you said the fab, the size of the fab required to make another fab is like very large right now.",8.46
435,Oh yeah.,0.2
436,"But computers were very large 80 years ago, and they got pretty tiny.",8.04
437,And people are starting to want to wear them on their face in order to escape reality.,8.02
438,That's the thing.,0.96
439,"In order to be, live inside the computer.",2.04
440,Yeah.,0.36
441,Put a screen right here.,1.28
442,I don't have to see the rest of you assholes.,1.68
443,I've been ready for a long time.,1.48
444,You like virtual reality?,1.02
445,I love it.,0.36
446,Do you want to live there?,1.4
447,Yeah.,0.22
448,"Yeah, part of me does too.",2.2
449,"How far away are we, do you think?",2.1
450,"Judging from what you can buy today, far, very far.",3.78
451,"I gotta tell you that I had the experience of Kodak Meta's Avatar, where it's a ultra high resolution scan.",11.62
452,It looked real.,2.66
453,"I mean, the headsets just are not quite at like eye resolution yet.",3.66
454,"I haven't put on any headset where I'm like, oh, this could be the real world.",3.96
455,"Whereas when I put good headphones on, audio is there.",3.36
456,"I like, we can reproduce audio that I'm like, I'm actually in a jungle right now.",2.98
457,"If I close my eyes, I can't tell I'm not.",1.8
458,"Yeah, but then there's also smell and all that kind of stuff.",2.76
459,Sure.,0.18
460,"I don't know, the power of imagination or the power of the mechanism in the human mind that fills the gaps, that kind of reaches and wants to make the thing you see in the virtual world real to you.",13.48
461,I believe in that power.,1.56
462,Or humans want to believe.,1.08
463,"Yeah, like what if you're lonely?",2.84
464,What if you're sad?,0.88
465,What if you're really struggling in life and here's a world where you don't have to struggle anymore?,5.28
466,Humans want to believe so much that people think the large language models are conscious.,3.96
467,That's how much humans want to believe.,1.48
468,Strong words.,1.14
469,He's throwing left and right hooks.,2.0
470,Why do you think large language models are not conscious?,2.72
471,I don't think I'm conscious.,1.18
472,"Oh, so what is consciousness then, George Hartz?",2.62
473,It's like what it seems to mean to people.,2.9
474,It's just like a word that atheists use for souls.,2.28
475,"Sure, but that doesn't mean soul is not an interesting word.",3.8
476,"If consciousness is a spectrum, I'm definitely way more conscious than the large language models are.",5.38
477,I think the large language models are less conscious than a chicken.,3.9
478,When is the last time you've seen a chicken?,1.52
479,"In Miami, like a couple months ago.",2.54
480,"How, no, like a living chicken.",2.1
481,"Living chickens walking around Miami, it's crazy.",1.84
482,Like on the street?,0.64
483,Like a chicken.,1.42
484,"A chicken, yeah.",0.72
485,"All right, I was trying to call you all like a good journalist and I got shut down.",7.9
486,"Okay, but you don't think much about this kind of subjective feeling that it feels like something to exist.",13.96
487,"And then as an observer, you can have a sense that an entity is not only intelligent, but has a kind of subjective experience of its reality.",12.78
488,"Like a self-awareness that is capable of like suffering, of hurting, of being excited by the environment in a way that's not merely kind of an artificial response, but a deeply felt one.",13.14
489,"Humans want to believe so much that if I took a rock and a sharpie and drew a sad face on the rock, they'd think the rock is sad.",6.7
490,"Yeah, and you're saying when we look in the mirror, we apply the same smiley face with rock.",5.68
491,"Pretty much, yeah.",0.74
492,"Isn't that weird, though, that you're not conscious of that?",3.64
493,No.,0.24
494,But you do believe in consciousness.,1.44
495,"Oh, really?",0.42
496,"It's just, it's unclear.",1.1
497,"Okay, so to you, it's like a little, like a symptom of the bigger thing that's not that important.",4.86
498,"Yeah, I mean, it's interesting that like human systems seem to claim that they're conscious.",4.76
499,"And I guess it kind of like says something in a straight up like, okay, what do people mean even if you don't believe in consciousness?",4.92
500,What do people mean when they say consciousness?,1.74
501,And there's definitely like meanings to it.,1.9
502,What's your favorite thing to eat?,1.4
503,Pizza.,1.68
504,Cheese pizza?,0.42
505,What are the toppings?,0.68
506,I like cheese pizza.,0.82
507,I like pepperoni pizza.,0.16
508,Don't say pineapple.,0.56
509,"No, I don't like pineapple.",0.98
510,Okay.,0.28
511,Pepperoni pizza.,0.54
512,"As they put any ham on it, oh, that's real bad.",1.76
513,"What's the best, what's the best pizza?",1.4
514,What are we talking about here?,0.9
515,"You like cheap, crappy pizza?",1.44
516,A Chicago deep dish cheese pizza.,2.04
517,"Oh, that's my favorite.",0.9
518,There you go.,0.36
519,"You bite into a deep dish, Chicago deep dish pizza.",2.56
520,And it feels like you were starving.,1.62
521,You haven't eaten for 24 hours.,1.5
522,You just bite in and you're hanging out with somebody that matters a lot to you.,3.92
523,And you're there with the pizza.,0.94
524,Sounds real nice.,0.88
525,"Yeah, all right.",1.16
526,It feels like something.,1.44
527,I'm George motherfucking Hotz eating a fucking Chicago deep dish pizza.,4.94
528,"There's just the full peak living experience of being human, the top of the human condition.",7.8
529,It feels like something to experience that.,2.36
530,Why does it feel like something?,1.12
531,"That's consciousness, isn't it?",1.26
532,"If that's the word you wanna use to describe it, sure.",2.52
533,I'm not gonna deny that that feeling exists.,1.8
534,I'm not gonna deny that I experienced that feeling.,2.02
535,"When, I guess what I kind of take issue to is that there's some like, how does it feel to be a web server?",6.38
536,Do 404s hurt?,1.12
537,Not yet.,0.9
538,How would you know what suffering looked like?,1.9
539,"Sure, you can recognize a suffering dog because we're the same stack as the dog.",3.38
540,"All the bio stack stuff kind of, especially mammals.",2.4
541,It's really easy.,0.86
542,You can- Game recognizes game.,2.7
543,Yeah.,0.38
544,"Versus the silicon stack stuff, it's like, you have no idea.",3.8
545,"You have, wow, the little thing has learned to mimic you know?",4.08
546,But then I realized that that's all we are too.,3.12
547,"Oh, look, the little thing has learned to mimic.",1.64
548,Yeah.,0.22
549,"I guess, yeah, 404 could be suffering, but it's so far from our kind of living organism, our kind of stack.",10.42
550,"But it feels like AI can start maybe mimicking the biological stack better, better, better because it's trained.",7.22
551,"Retrained it, yeah.",0.72
552,"And so in that, maybe that's the definition of consciousness is the bio stack consciousness.",5.34
553,The definition of consciousness is how close something looks to human.,2.5
554,"Sure, I'll give you that one.",0.86
555,"No, how close something is to the human experience.",4.06
556,Sure.,0.32
557,"It's a very anthropocentric definition, but- Well, that's all we got.",4.36
558,Sure.,0.24
559,"No, and I don't mean to like, I think there's a lot of value in it.",3.3
560,"Look, I just started my second company.",1.22
561,My third company will be AI girlfriends.,1.64
562,"Oh, like I mean it.",1.04
563,I want to find out what your fourth company is after that.,2.24
564,"Oh, wow.",0.18
565,"Because I think once you have AI girlfriends, it's, oh boy, does it get interesting?",7.12
566,"Well, maybe let's go there.",1.36
567,"I mean, the relationships with AI, that's creating human-like organisms, right?",4.42
