index,sentence,length
123,"And then you can even connect a Bluetooth keyboard and a Bluetooth trackpad and start working around like it's an actual Mac, just with a bigger screen wherever you want.",7.14
124,"Yeah, ecosystem stuff.",2.2
125,So that's computing.,0.6
126,I definitely got to try it.,1.06
127,"But then of course, there's the connection stuff.",2.46
128,You got messaging.,0.68
129,You can type out messages to people just like as if you were on a Mac.,3.04
130,But there's also impressively FaceTime.,2.14
131,"Now, I don't even know that this is necessarily better than a normal FaceTime holding your phone or like on a laptop, other than the fact that I guess you don't have to be holding anything.",9.76
132,But you can have people's windows floating in front of you as you talk to them on FaceTime.,4.74
133,"But you might also be asking, wait a second, if I'm not holding my phone in front of me, what do other people on FaceTime see?",6.88
134,"Well, the answer is they'll see a 3D rendered model of you that was scanned into the system from your iPhone that syncs up and matches the movements of your face with eye tracking and all the other sensors of the headset.",13.02
135,So I got to try it.,1.72
136,"It is, it works, okay.",3.34
137,So it's not as good as obviously looking at a person.,3.32
138,"I just feel like a FaceTime, you're trying to have like a personal connection with the person.",3.66
139,And this is obviously more personal than an avatar or like a cartoon of you.,4.74
140,"But it's just, it feels kind of somewhere in between.",3.06
141,"It's kind of like a Google Project Starline, which I just did that video about a couple weeks ago.",4.12
142,"If you haven't already seen that, I'll leave a link with a like button so you can check it out.",3.18
143,"But it feels sort of in that like uncanny valley, you know, moving 3D model territory instead of looking at an actual person.",6.44
144,It's kind of how I picture it.,1.24
145,"But then last but not least, of course, content.",2.52
146,People are just going to watch content on this thing.,2.28
147,And I think this is the industry now that Apple is jumping into it that is poised to explode.,5.68
148,"Like we've had VR games and VR videos for a long time, and Apple is now also able to do this.",6.76
149,"They, of course, put their own spin on it and they can use the power and the draw of the Apple brand to get content creators and big motion picture studios and sports leagues and all kinds of creatives to work to make content that looks really good, specifically on Apple's headset and in Apple's formats.",17.46
150,"I can personally say from my demo, hell yes, I would watch.",5.08
151,"An NBA game courtside in the VR headset, the quality is good enough, and obviously it's not going to be as immersive as feeling the energy from the crowd, but you're not paying courtside prices.",11.14
152,"You probably pay is a total guess, 10, 20 bucks to watch an NBA game courtside or have some subscription to do that.",7.54
153,I would totally do that and it would be fun.,1.86
154,"But even with regular 2D content like movies, just watching a regular movie, you can totally just sit back, put the headset on, maybe even put some headphones on and just like on a plane seat, just watch a movie as if you're in a theater for one, which is pretty sweet.",13.02
155,There's a digital crown on the side that actually lets you spin it clockwise to move in more immersion and fully envelop you in the VR environment.,8.26
156,"Or you can turn it counterclockwise to bring in more of your real world environment with pass through in your peripheral vision, kind of a neat trick.",8.16
157,And then there was also this kind of weird feature where you can take 3D photos and videos with the cameras built into the headset itself.,8.18
158,And I did not like this one.,2.52
159,So there was a demo of like a recording from a headset camera of a kid blowing out some candles on a birthday cake basically.,7.36
160,And I got to watch this actual scene in the actual Apple headset.,4.3
161,"So because there's two cameras like front facing there, they can record stereoscopic 3D.",4.66
162,"So you can turn on the recording and in that moment sit down and record a super immersive video and then when you watch it back in the headset, it's like you're reliving this moment in 3D, which can feel kind of cool, but I just, I can't get the image of like the dad at the birthday party with the headset on just recording things like walking",21.58
163,around.,0.32
164,"It just doesn't, it's what kind of memory is that for the other people around you?",5.56
165,"You know, like I saw this and I immediately thought back to the reasons we all know why Google Glass failed, which is, it was ahead of its time, but it's also like you're walking around with a camera on your face and everybody knows that you have a camera on your face.",12.62
166,It just wasn't cool.,0.9
167,"Dad, what are you doing?",2.02
168,Why are your eyes sticking out through the headset?,2.26
169,"So, all right, the number one question I've gotten after I've actually tried this thing is, is it any good?",5.04
170,Is this headset any good?,1.14
171,"And the answer is, well, yeah, some of the parts of this headset that I tried are actually the best I have ever seen in any VR headset by a mile, specifically the eye tracking and the hand tracking.",14.72
172,"Now, of course, it's going to be up to developers to really make it good, but I think the foundational like how do you use it part is pretty amazing, but that doesn't mean there aren't any downsides.",10.36
173,All right.,0.2
174,"Number one, there was no haptics, of course, because you don't have controllers.",3.06
175,You're just doing everything with your hands in the air.,2.2
176,There's no way to have any sort of haptic feedback.,3.0
177,"There was a demo that I did where like I stuck my hand out, a wall on the other side of the room opened up and a dinosaur was back there and a butterfly flew out.",8.94
178,I held out my hand and the butterfly flew up and landed on my finger.,3.94
179,"It could track and see all of that information and the volumetric, all the computation to make that happen was amazing.",5.6
180,"But when the butterfly landed and I didn't feel anything, there was that moment of like, oh, right, this is a VR headset.",5.02
181,"But then number two, this was interesting.",1.54
182,This is pretty heavy.,0.7
183,"This is a pretty heavy VR headset, kind of the same way that AirPods Max, the Apple's metal headphones are heavier than most plastic headphones.",9.96
184,There's a reason why most other VR headsets are just plastic.,3.26
185,It's not because that's cheap.,0.84
186,It's because it's lightweight.,0.82
187,It's fatiguing to have a heavy thing on your head.,2.2
188,And this is a headset made of metal and glass.,3.32
189,It's heavy.,0.6
190,Now it is also super well built.,2.14
191,"Like there is no arguing that, but I do wonder about using it for longer than the half hour that I did.",6.02
192,I wonder if it would be more fatiguing to my head.,1.94
193,That's also actually why the battery isn't attached to it.,2.52
194,That would be a ton of weight to carry on your head.,1.94
195,So they connected the battery instead through a proprietary cable and that actually can sit next to you on the couch or in your back pocket.,6.22
196,"And that brings us to the other thing, the battery life.",3.04
197,"Two hours, two hour battery life on the headset, which is not that great.",5.36
198,It's not that long.,0.8
199,Now there's a USB-C port on the battery bank and you can plug that into the wall for infinite time.,4.54
200,"But the second you unplug from the wall, yeah, two hours from that pretty hefty battery bank, which is like, okay, maybe most people won't be spending a lot of time in the headset, but you did also just show us Apple an ad of people like watching a movie in the headset.",13.0
201,That's already like most movies are two hours plus.,2.94
202,So something worth thinking about.,1.98
203,"Just a two hour, I'm sure people will make bigger external batteries for this thing, but two hours.",4.84
204,"And then also I couldn't get a firm answer here on if there are fans inside or not, but I think there's fans.",5.0
205,Like there's certainly vents for fans anyway.,1.64
206,"And if you're gaming for long enough or using it for long enough, do those spin up?",4.2
207,Do they ever get loud?,1.14
208,Do they ever kill your battery?,1.24
209,That's kind of unclear.,0.72
210,"But then of course the main thing that everybody's talking about, it's expensive.",2.84
211,"It's $3,500.",4.34
212,So is that pricey?,0.96
213,"Yeah, that's very expensive.",1.96
214,But this is the thing that is always weird with Apple products.,2.98
215,Like there is no direct comp.,1.72
216,"Like you always say it's expensive, but like compared to what?",3.42
217,And they did this with the Pro Display XDR.,2.58
218,"They've done this with even AirPods Max a little bit, but like there are several things that this headset does that no other headset does.",7.08
219,"The eye tracking, the hand tracking, that's super good.",2.54
220,"Even if an equivalent headset came along today and did all of the same stuff that this does, hardware and software wise, it still wouldn't have FaceTime.",8.68
221,It still wouldn't have like looking at a Mac and then the ecosystem allowing the Max display to pop up.,5.18
222,So this is kind of something that only Apple could pull off.,3.4
223,"So bottom line, I got to try it.",2.04
224,"I thought it was extremely impressive, but at the end of the day, this is not a product for the masses.",5.16
225,"I mean, obviously, right?",1.36
226,"It's $3,500.",1.28
227,It has the word Pro in the name too.,1.74
228,"But this feels like the Series Zero, like the Apple Watch.",3.34
229,"Remember when the Apple Watch first came out, the Series Zero, where it's really going to be up to the first gen, the early adopters and the developers to decide the direction that this thing goes, to decide what people actually want to use it for.",13.38
230,And that'll shape the future versions of it that we may eventually get down the road.,4.0
231,"Then maybe someday there's like a Vision SE that's like 400 bucks that the masses will all adopt and it'll be this next generation hit product, maybe.",11.54
232,"But as of right now, this is very much in the sort of early adopter, people like me, people like watching this video testing phase to figure it out.",8.36
233,So that's the Apple Vision Pro.,1.24
234,It's the rich person's toy and the developer's muse for right now.,5.1
235,But we'll see how far this thing goes in the near future.,3.76
236,It's coming out next year.,0.84
237,It's not that far off.,0.94
238,It's not that far away.,0.8
239,It's really interesting times.,1.14
240,"Either way, this was also part of a huge entire WWDC keynote.",5.14
241,"So if you want to watch my recap of the rest of that stuff, ideally get subscribed because there's going to be a video recap of the biggest announcements of which there are many other things.",7.96
242,"And also I'll shout out the Waveform podcast to get subscribed there too, because the next episode, I'll just say it, it's a banger.",6.6
243,It's pretty sick.,0.62
244,"So hit sub, hit like, hang out in the comments.",3.06
245,That's been it for this one.,1.04
246,Thanks for watching.,0.66
247,Catch you guys in the next one.,1.0
248,Peace.,0.3
