index,sentence,length
170,"But if you're wondering how, the prosecution pulls up the code and they ask Gary, hey, it looks like it takes the daily volume, multiplies it by a random number and divides by a billion.",11.64
171,"Answer, yes.",0.78
172,Does that number have anything to do with the actual number of the insurance fund?,3.72
173,No.,0.68
174,"This was the exact moment, guys.",2.08
175,I knew I had to go visit this trial in person.,2.28
176,I knew things were bad with FTX.,2.16
177,I didn't know they were make things up with random numbers levels of bad for our insurance fund.,5.98
178,"So based on this, I took the next flight out to New York City from the Bahamas.",4.66
179,And I can't believe what I saw.,1.42
180,"Now, I'm going to warn you guys right now.",1.36
181,They didn't allow us to film in here.,2.12
182,So all I got was really just like a little bit of B-roll.,2.14
183,"But in terms of experiencing it, I really got a feeling for what it was like in the actual courtroom, seeing Caroline, seeing Sam, seeing Gary.",8.8
184,Which brings us to...,2.94
185,So Gary Wang is still on the stand in cross-examination.,4.5
186,"At this point, I'm in the courtroom with my little notebook.",2.6
187,"And I followed the trial around enough to know that the defense really needs to land some jabs here, right?",5.62
188,They've been taking a beating so far.,2.26
189,"So, you know, I take my seat and I get ready for fireworks, right?",3.72
190,This is their moment.,0.74
191,"And to their credit, the defense brings up something called NAV, net asset value.",3.54
192,This is their silver bullet.,1.6
193,"Question, are you familiar with the term net asset value?",2.4
194,Yes.,0.28
195,That's sometimes called NAV?,1.46
196,Yes.,0.24
197,"It just means that your assets minus your liabilities, right?",2.8
198,"Roughly speaking, yes.",0.96
199,"If you have a positive NAV, you have more assets than you have liabilities, right?",3.34
200,Yes.,0.26
201,"The defense then goes on to get Gary to admit that technically in 2022, he calculated that Alameda's net asset value was positive.",8.26
202,Gary says yes.,1.14
203,And they push again.,0.7
204,"Isn't it true that Alameda's net asset value remained positive all the way up to November of 2022, which is when things collapsed?",7.58
205,"Answer, it depends a lot on how much value you assign to Alameda's investments.",4.0
206,"Which is kind of true, but it's also like a lot of a dodge.",3.46
207,Even from my very biased perspective.,2.36
208,"You know, I was writing in here.",0.8
209,"I was just like, I don't know.",2.28
210,The actual answer from Gary should have been here.,2.04
211,"Yes, that's true.",1.24
212,Alameda's balance sheets showed a positive net asset value as late as November.,4.16
213,But the nuance of why is what really matters here.,3.9
214,"To understand it, we're going to have to explain liquid versus illiquid assets.",4.22
215,"So to do that, I've flown out everyone's favorite bartender, Maxwell, to talk about it.",5.12
216,"You know, what are you doing?",3.28
217,Where's the bar?,0.72
218,What bar?,0.48
219,"We're doing the thing, right?",1.28
220,Margo Robot in a bubble bath?,1.5
221,Margo Robot in a...,2.76
222,What are you talking about?,1.04
223,"You know, the big short.",1.74
224,Famous scene.,0.84
225,Great movie.,0.58
226,I know what the big short is.,1.44
227,We're not doing the big short.,1.18
228,I think he's still taking the Michael Lewis thing pretty seriously.,3.7
229,I can't watch this.,0.88
230,Just explain the thing.,1.46
231,"Aye aye, boss.",0.76
232,All right.,0.74
233,"So basically, Sam Bankman Freed had found a way to borrow billions from his customers and billions from crypto lenders, but didn't have the money to pay everyone back.",10.16
234,So he decides to bluff by loading Alameda's balance sheet with the liquid assets.,5.28
235,"The catch was, these looked valuable on paper, but were actually unsellable and super risky.",7.86
236,"Venture capital, Sam's crypto coins, interparty loans.",3.36
237,"When you hear them talk about these liquid assets, think sh**.",4.84
238,"Meanwhile, what Sam owed was all liquid.",2.04
239,Things with immediate value.,1.16
240,"That's how FTX could go bankrupt, even when their net asset value was positive.",5.44
241,"Their assets were sh**, and the debts were legit.",3.28
242,It's that simple.,0.76
243,Got it?,0.46
244,Good.,0.52
245,Now f**k off.,0.92
246,All right.,0.48
247,I hope that helped.,0.7
248,I certainly will never forget what I just saw.,1.9
249,"But now, Caroline Ellison is going to take the stand and talk a great deal about these illiquid assets.",5.52
250,"Caroline Ellison, of course, being the girlfriend of Sam, ex-girlfriend.",3.26
251,"But more importantly, she was the CEO of Alameda Research when it and FTX collapsed.",5.76
252,"Immediately, she admits she is guilty of fraud, money laundering.",3.96
253,And then she says that she committed these crimes with Sam Bankman Freed.,3.94
254,"The reason she defrauded people is she, quote, incorrectly stated the amount of our assets and our liabilities and made Alameda's balance sheets look less risky than it really was.",10.62
255,And this is where liquid versus illiquid assets is going to start to matter.,4.58
256,Because Caroline was in charge of creating and sending these balance sheets to lenders to get more loans.,6.42
257,And Sam asks her to start putting their own crypto coins they had as part of their balance sheets.,5.46
258,Things like FTT.,1.32
259,"Now, Caroline says she did not initially do it because it was, quote, somewhat misleading because you couldn't actually sell these coins for what they were worth on paper.",10.62
260,"And this didn't just apply to FTX's own coin, FTT.",3.54
261,It applied to a whole host of coins they called Sam coins.,3.94
262,"Sam coins, of course, being a nickname for coins that Sam played a large role in or created himself.",5.56
263,"Things like Serum, Maps, Oxy, Solana.",2.44
264,"And the prosecution asks, and were Sam coins ultimately put on Alameda's balance sheet?",4.4
265,"She said, yeah, even though I guess initially they didn't.",3.54
266,"So they have all these coins that they can't really sell, but that look good on paper, right?",5.56
267,That's really important.,0.66
268,The rough value of Sam coins on paper was in the ballpark of $10 billion.,5.4
269,"Now, while she's preparing these misleading balance sheets, Caroline also claims she learned that Alameda Research had loaned billions of dollars to Sam, Gary, Nishad, and other entities through FTX.",13.04
270,"According to internal spreadsheets, around $5 billion was loaned out.",4.28
271,Why?,0.3
272,"A lot of it was being used on investments, she said.",2.82
273,A lot of early stage startup companies.,1.7
274,"And of course, political donations.",2.54
275,"If you're from America, take a big drink.",1.86
276,This one hurts.,0.56
277,"Because Sam said that spending money on politics was very effective, that you could get very high returns in terms of influence by spending relatively small amounts of money.",11.7
278,I just want to pause on that moment and just say it's such a sad indictment of our government.,5.1
279,"I mean, if you're going to get bought out as a politician, can you at least charge a lot of money?",4.36
280,You couldn't buy my influence for less than $10 million.,2.3
281,"I mean, have some self-respect, guys.",2.0
282,"That's all I'm going to say, okay?",1.22
283,We need a better standard.,1.66
284,"But anyways, moving on, Caroline then explains that these loans to executives were a liquid.",4.68
285,"Meaning you couldn't really sell your stake if you needed to repay the loans because either political donations or venture capital, you're just not going to really get your money back.",7.46
286,"Over time, Caroline says that she didn't feel good about including these loans on Alameda's balance sheet because, quote, that might raise concerns for Alameda's lenders.",9.66
287,"And quote, they made Alameda significantly riskier.",3.54
288,Caroline was then asked about Sam Bankman-Fried's approach to risk-taking.,3.92
289,"Quote, he described himself as risk-neutral, meaning that most people are risk-averse.",4.68
290,But he said that he was totally comfortable taking a risk as long as he thought it was a positive EV.,5.58
291,EV meaning expected value.,1.9
292,"Caroline was asked if Sam gave an example of this, and he did.",3.34
293,"He would be happy to flip a coin, and if it came up tails, the world was destroyed.",5.1
294,"As long as if it came up heads, the world would be more than like twice as good.",5.2
295,"Okay, the prosecution, I think, did not stay on this point enough.",4.04
296,This is insane.,1.34
297,"Of course, it's not risk-neutral.",1.36
298,It's degenerate gambler behavior.,2.3
299,This sounds like my uncle betting it all on double zero in Vegas telling me he has a system.,5.24
300,"I mean, there's nothing risk-neutral about being willing to bet the world's destruction on a coin toss.",5.92
301,"In fact, it was so bad, the prosecution then asked for a break.",2.98
302,"And when they came back, the government then shows this exhibit, which is an internal note.",4.42
303,The part in gray was written by Sam.,2.1
304,And it's just basically a potential bad scenario for FTX and Alameda.,4.6
305,Why was Sam thinking about this?,2.0
306,"Well, he claimed that he thought there was a 10% risk chance that this happened, and he wanted Caroline to look at it.",6.62
307,Some of these worst-case scenario events were like their venture capital is basically worthless.,4.84
308,"CRM, Solana, FTT all go down 75%.",2.76
309,You get the idea.,0.96
310,And the reason for this at the time was not purely theoretical.,2.68
311,Sam said he was thinking of making $3 billion more in venture investments and wanted to know how that would affect Alameda's finances.,7.06
312,Caroline came back and basically told him it will affect them badly.,3.42
313,"Quote, making $3 billion more venture investments would put Alameda in a significantly riskier position and make it much less likely or almost impossible that we would be able to pay off our loans.",9.52
314,That's of course bad.,2.16
315,And this is an extremely important moment because it's like someone clearly warning Sam that he should stop.,6.62
316,"So he does that, right?",1.42
317,No.,0.5
318,He then tweeted this on January 14th.,2.36
319,We're launching a $2 billion venture fund.,3.12
320,"This is right after he's told you do this, you may collapse your own company because it's too risky.",4.48
321,"Anyway, that's the end of day five.",1.82
322,"Day six, October 11th.",2.4
323,Caroline Ellison gets back on the stand.,1.7
324,The jury's told about May of 2022.,2.02
325,We're walking through the events.,1.66
326,The crypto market has just crashed because of Terra Luna and crypto lenders are scared.,3.84
327,"Celsius is collapsing, we covered that.",1.9
328,Other lenders don't want to be overextended.,1.42
329,And a lot of them decide to call back their loans.,2.38
330,"The head of lending at Genesis, for example, a large lender to FTX and Alameda recalls $400 million of their loans.",6.88
331,"Now, this is bad for Alameda because they don't have money and they've borrowed billions from their customers, billions from lenders.",6.94
332,The only way they're going to pay back one of those people is to borrow more from the other.,3.36
333,"So in this case, they're going to take more from customers.",2.04
334,"Caroline then testifies this, quote, we didn't have the liquid assets to pay all the money back and we would be taking money from FTX.",6.98
335,"Question, and whose funds would that be?",2.5
336,That would be coming from customer funds.,2.28
337,"Nevertheless, they pay back those loans anyways.",1.86
338,"Five days later, head of lending at Genesis text them again.",2.82
339,"He's worried, might call in more loans.",1.9
340,"He asks them for a quote, more updated view of equity and balance sheet.",4.38
341,"This is really important because Caroline says, you know, okay, yeah, I'll put it together.",4.04
342,"But behind the scenes, she's really concerned because she puts together a regular balance sheet.",4.52
343,"But when she shows it to Sam, she says, quote, think it looks bad.",3.36
344,I don't think we can send this to Genesis.,1.42
345,Do you agree?,0.62
346,"And he said, yeah, that sounds right.",1.64
347,And we're going to go through some of these balance sheets.,1.4
348,"I know it's going to be complicated at first, but there's only a few numbers you need to know about.",3.62
349,Here's what the original one looked like.,1.48
350,What matters here is that their liabilities are massive.,2.56
351,Numbers here are in millions.,1.24
352,"So 14 billion is the total they owed and 9 billion of it are FTX exchange borrows, meaning taken from FTX customers.",9.0
353,"Now their assets are 21 billion, which is technically more, but mostly consists of Sam coins, some of which are literally locked up.",7.64
354,"And then also they have all these related party loans, which they're counting as assets, $4.5 billion.",4.86
355,We've talked about that.,0.74
356,They can't get that money back.,1.54
357,So that is why both Sam and Caroline knew this balance sheet looked terrible.,3.96
358,They know they don't have the actual cash or crypto to cover their debts.,3.82
359,"According to Caroline, Sam then suggested that I should prepare some alternative ways of presenting the information and send them to him.",7.64
360,"Caroline then creates seven alternate balance sheets and sends them all to Sam because, quote, I didn't really want to be dishonest, but I also didn't want them to know the truth.",10.2
361,Them meaning Genesis.,1.02
362,"And of the seven alternate balance sheets, this is the one Sam picked.",3.32
363,"In a side-by-side, you can notice a few things.",2.16
364,"Firstly, the related party loans is gone.",2.92
365,So is the word exchange borrows.,2.32
366,"Caroline claims, quote, I deleted the related party loans and I also subtracted the same amount of money from FTX borrows so that our NAV would remain the same, but our total assets and total liabilities would both get lower, which to be clear is accounting fraud.",15.7
367,"But the reason they did this is what's actually important, which is, quote, the intended effect, this is Caroline, was to make Alameda look less risky than it was and to hide the fact that we were borrowing around $10 billion from FTX customers.",16.06
368,And so what was the result of all that lying?,2.92
369,"Well, she sends it off to Genesis and it backfires because they keep recalling loans.",5.8
370,All that effort and they're still asked to repay $500 million in $250 million clips.,5.16
371,"To be clear, this is the worst case scenario Sam had dreamed of coming true.",4.18
372,"By September, FTX's borrows will have gone up to 13.7 billion.",4.18
373,"If you remember, just a bit ago, three months ago, it was 9.9 billion.",4.02
374,So things are spiraling out of control.,2.32
375,"And by November, things hit a breaking point.",2.32
376,"When that fake balance sheet, which they sent Genesis, got leaked to CoinDesk, a publication, and people started to read it and realized that FTX just didn't have the money and they started withdrawing from FTX.",13.72
377,"It's worth commenting here on the irony that this fake balance sheet, which was supposed to conceal how bad things were, was ultimately their downfall because even with all the changes they made, it still looked so bad to scare customers.",12.48
378,"You know, but ultimately the result was people just started withdrawing all their money and they couldn't, you know, fulfill that and they collapsed.",6.26
379,"I know a lot of people will point to CZ tweeting about FTX as like the catalyst for FTX collapsing, but actually that was just extra fuel to the fire.",9.58
380,The truth was FTX and Alameda just didn't have the money.,2.64
381,They hadn't had the money for a long period of time.,1.7
382,And that information got leaked through this like balance sheet.,3.56
383,"But ultimately that wasn't the most impactful moment of Caroline's testimony because all these numbers, you know, it's hard to know how much the jury is really resonating with it.",7.5
384,"But what I know they resonated with is what happened right after, which is when the government pulled up a grainy text between Sam and Caroline.",6.8
385,She's saying that she's in the best mood I've been in all year.,2.42
386,"Sam replies, why?",0.88
387,Because she's exciting?,0.92
388,"Quote, I think I just had an increasing dread of this day.",2.88
389,It was weighing on me for a long time.,1.42
390,"And now that it's actually happening, it just feels great to get it over with one way or another.",4.3
391,Now what happened next will not be shown in court records because transcripts don't show emotions.,4.82
392,But I wrote it down because I was there in the courtroom at the time.,2.74
393,Caroline starts bawling at this point.,2.34
394,"She starts expressing remorse, admitting to lying, crying over her guilt and dread.",4.18
395,"And look, I'm not going to read you her whole statement there, but I was watching the jury and I know for a fact they were moved by this.",7.44
396,"You know, they might not have understood all the numbers.",1.98
397,"They might not have understood the embezzlement, but they understand when a CEO starts crying about how guilty they were about what they were doing, what they knew they were doing the whole time.",9.8
398,And I think that was a really powerful moment.,2.62
399,And that's basically the end of the day.,1.28
400,"The next day, Caroline Ellison is up for cross-examination.",3.16
401,This is really the defense's chance to kind of land some shots.,3.32
402,And of course it doesn't happen.,1.92
403,"They try to focus in on the fact that Caroline is just trying to get a cooperation agreement, like with the government.",5.28
404,"The implication being that the only reason she admitted that, you know, she defrauded people, the only reason she's crying is because she wants to get a deal.",6.76
405,"But the problem with this was that then in redirect, this gets used against the defense when the prosecution uses that to release a tape showing Ellison admitting all of this prior in an all hands meeting.",11.96
406,"Starting last year, Alameda was kind of borrowing a bunch of money via open term loans and use that to make various illiquid investments.",11.22
407,"So like a bunch of STX and STX US equity, a bunch of like other ventures, investments, et cetera.",8.2
408,"Most of Alameda's loans got called and in order to like meet those lovery calls, we ended up like borrowing a bunch of funds on FTX, which led to FTX having a shortfall in user funds.",11.04
409,"Just in general, this looked bad.",2.36
410,"And I just want to say, I'm not trying to make the defense look bad.",3.5
411,I understand that I have a bias.,1.14
412,"But if you're thinking to yourself, wow, this video paints the defense as being bad, that's true.",5.86
413,But it's not because I'm trying to select things to make them look bad.,3.92
414,It just was like that.,1.98
415,And there's no other way to really say that.,2.16
416,And that's basically the end of the day.,1.34
417,"All right, up next, the prosecution has Zach Prince on the stand, CEO of BlockFi.",5.32
418,"Basically, the point of this was to share the fact that, you know, FTX or Alameda were sending these fake balance sheets around.",7.0
419,BlockFi would ultimately go bankrupt because they gave a bunch of loans to Alameda.,4.24
420,"But I think what's worth highlighting here is how convoluted some of these loans were, because it's worth understanding.",7.34
421,The only problem is I barely understand it.,2.56
422,"So in order to explain it, I just actually had someone else do it.",3.24
423,"Carly Riley has been covering the trial as well through her channel, Overpriced JPEGs.",3.68
424,And she's here to explain sort of how convoluted things were.,3.84
425,Let me see if I can get this in one shot.,1.3
426,"OK, FTX US gives a $400 million line of credit to BlockFi, who then starts lending $800 million to Alameda, who in exchange for that $800 million posts collateral back to BlockFi, who hold it in an account that they have on FTX, who lends basically all customer deposits,",22.8
427,"including BlockFi's collateral deposits, to Alameda, who then uses that money they borrowed from FTX to partially pay back lenders, including BlockFi, who they paid back $150 million to in November of 2022 as everything was imploding, but they never finished paying them back because they went bankrupt.",18.48
428,"All right, big thanks to Carly for that.",1.6
429,"To be honest, even still afterwards, I don't fully understand exactly how the BlockFi thing worked.",6.62
430,"But usually when things are unnecessarily complicated, it's because someone's trying to hide a ball somewhere.",6.76
431,So just understand that the reason a lot of these loans were structured in such a convoluted way was ultimately so that Alameda or FTX could benefit.,8.68
432,And that's ultimately what happened.,1.18
433,They ended up basically siphoning money out of BlockFi.,2.52
434,"All right, today we have another big witness, Nishad Singh.",4.98
435,"He's basically the head of engineering at FTX, but the reason he's important is because he describes finding out that Alameda had basically taken customer money and confronting Sam about it on this balcony, pictured here.",13.66
436,"Nishad says that he was pacing behind these baskets on the left, and Sam was reclined on one of the white-like chased chairs behind that.",8.1
437,"In fact, it's not too far from where we are now.",1.78
438,"Basically, Nishad confronts Sam saying, hey, Caroline's really freaked out about the net asset value situation, and so am I.",6.3
439,"According to Nishad, Sam then replied, I'm not sure what there is to worry about.",3.6
440,Net asset value is fantastic by almost any measure.,2.66
441,"Nishad replied, well, what about what Caroline said today?",2.36
442,And Gary said today that there's 13 billion borrowed and we can't pay it all.,3.5
443,"Sam said, right, that.",1.6
444,We are a little short on deliverables.,2.2
445,"He then says, this has been taxing me some 5% to 10% of my productivity for this year.",4.62
446,"Now, this is important because Sam and his defense's excuse traditionally has been, hey, I just found out about this debt, this giant debt that Alameda had in late 2022.",11.08
447,"I mean, look, I wasn't running Alameda.",2.54
448,I didn't know exactly what was going on.,2.64
449,I didn't know the size of their position.,2.16
450,"A lot of these are things I've learned over the last month that I learned as I was sort of frantically digging into this on November 6th, November 7th, November 8th.",9.42
451,But that excuse now falls flat because clearly we have him saying that he knew about this for over a year.,6.74
452,"After all, he claims it occupied 10% of his productivity.",3.48
453,So that blows a large hole in the defense's case that Sam was some innocent bystander.,4.96
454,"Now, today I had a bunch of other fun bits in it too, like spreadsheets of political donations, spreadsheets of venture capital investments, spreadsheets of celebrity endorsements.",8.96
455,"Yes, I like the spreadsheets.",1.22
456,There's fun data in there.,1.2
457,Like the fact that celebrity endorsements cost $1.13 billion.,4.8
458,"In general, just the feeling was that, hey, Alameda's burning cash even as their company is drowning in debt and nobody seems to care.",10.0
459,"All right, now we're on to the cross-examination of Nishad.",3.56
460,"And for the first time, this is where the defense starts to get their feet a little bit and things flipped pretty quick.",5.26
461,The consensus the day before was that all of that was terrible for Sam.,3.84
462,Nishad was a star witness.,1.18
463,He was there confronting Sam on the balcony.,2.4
464,He has this detailed story about how he did it.,2.64
465,"But when pressed for details, this is where things got really weak.",3.34
